n_factors,n_hidden_1,n_hidden_2,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
200,100,100,0.6339489396886325,0.6384739637374878,"[0.6799719030949618, 0.6538735683253735, 0.6391944723814406, 0.630418635024993, 0.6241092074025671]","[0.656111725118776, 0.6273785146656415, 0.6142047529189002, 0.6089904991206744, 0.6073009825700166]","[0.5697771, 0.6374897, 0.6284063, 0.6366639, 0.6407927]","[0.6589404, 0.6754967, 0.6821192, 0.6721854, 0.6589404]"
200,100,50,0.6362440622931811,0.6351583480834961,"[0.68565977116836, 0.6643060801641494, 0.6493201749960713, 0.6398678866917196, 0.6333462447297169]","[0.6667345967513836, 0.641903289106508, 0.6251067049455958, 0.615170381716545, 0.6109162644045243]","[0.5590421, 0.62923205, 0.63336086, 0.6407927, 0.6341866]","[0.66225165, 0.6754967, 0.6721854, 0.66887414, 0.6589404]"
100,100,100,0.6381417301228337,0.6325071573257446,"[0.6835945834314203, 0.6629803921445946, 0.6491713281705496, 0.6426237112820198, 0.638388214329862]","[0.6642093638710628, 0.6366910997605482, 0.6196613023612673, 0.6104708909988403, 0.6072402939891184]","[0.5780347, 0.6151941, 0.61849713, 0.61849713, 0.6242775]","[0.6456954, 0.6423841, 0.63907284, 0.6490066, 0.65562916]"
100,50,100,0.6384759148425712,0.6265687465667724,"[0.6783501644158146, 0.6587709308064348, 0.6470819230319841, 0.6413391791130274, 0.6381562625840121]","[0.6579029556141783, 0.6336303763831688, 0.6203210377535283, 0.613889785002399, 0.6111138948541603]","[0.5871181, 0.60611063, 0.611891, 0.611891, 0.6168456]","[0.6490066, 0.6456954, 0.63907284, 0.6589404, 0.6589404]"
200,50,100,0.6391994444004989,0.6305247664451599,"[0.6764455629123527, 0.6524980644073297, 0.6410644498371467, 0.6344864029317331, 0.629682590309792]","[0.6519363262005989, 0.6260997155644247, 0.6161309887241844, 0.6130835145514533, 0.6121115143725414]","[0.597853, 0.6275805, 0.63170934, 0.6366639, 0.64905035]","[0.6490066, 0.6490066, 0.6456954, 0.6490066, 0.6523179]"
200,50,50,0.6408452763460093,0.6305313229560852,"[0.6855154594146545, 0.6660685414720625, 0.6530557584900387, 0.6440785362344453, 0.6393279756129427]","[0.6675781394472186, 0.643778209259968, 0.6272566504036354, 0.6178215978950854, 0.6139093519046607]","[0.5639967, 0.6234517, 0.6209744, 0.63336086, 0.63996696]","[0.6589404, 0.6456954, 0.6423841, 0.6490066, 0.6456954]"
50,50,100,0.6409407944045395,0.6312066912651062,"[0.6801429476548974, 0.6651297323867175, 0.6541700683577212, 0.6481881640254713, 0.6439117213894177]","[0.6638502991752119, 0.6431749245978349, 0.6286611825425104, 0.6196339967235035, 0.6151547925361734]","[0.61271673, 0.6085879, 0.60611063, 0.61271673, 0.6151941]","[0.6490066, 0.66887414, 0.6754967, 0.6821192, 0.66225165]"
100,100,50,0.6428582505171689,0.6226018071174622,"[0.6903239869067336, 0.6738445346361345, 0.6608131299522866, 0.6530545492195866, 0.6476160071291872]","[0.6742422395194603, 0.652297492453594, 0.6355209812423251, 0.6227959793135031, 0.6158060727529968]","[0.52683735, 0.5937242, 0.6094137, 0.6135425, 0.6234517]","[0.6423841, 0.63245034, 0.6423841, 0.6423841, 0.65562916]"
50,100,100,0.6431136414999155,0.6159923911094666,"[0.6862890340886167, 0.6713248806783328, 0.6588437161988999, 0.6511373479537585, 0.6455095071225595]","[0.6730248647809818, 0.6515781997844873, 0.6344658669257006, 0.6230069821244044, 0.6173639550114309]","[0.57060283, 0.6028076, 0.6003303, 0.60776216, 0.6135425]","[0.6092715, 0.6357616, 0.62913907, 0.63245034, 0.62913907]"
100,50,50,0.6439445871701098,0.6179725885391235,"[0.6905663848710789, 0.6745668287911167, 0.662547343285196, 0.6550672237878984, 0.6480158534451618]","[0.6800712856235883, 0.6588892486711212, 0.6415001201313852, 0.6286636721219448, 0.6210047018449039]","[0.5342692, 0.59207267, 0.60776216, 0.6094137, 0.6168456]","[0.6357616, 0.62913907, 0.62913907, 0.63907284, 0.63907284]"
50,50,50,0.6485019727472144,0.6159967541694641,"[0.6903237904230491, 0.6777978819032822, 0.6683522233974826, 0.6598930261924579, 0.65479035150109]","[0.6797743246255331, 0.6631980183108753, 0.6482223757844887, 0.6360050183258309, 0.6278194485121216]","[0.55326176, 0.6028076, 0.60528487, 0.60528487, 0.60528487]","[0.6357616, 0.6456954, 0.65562916, 0.6589404, 0.65562916]"
50,100,50,0.6489555767089883,0.6199506044387817,"[0.6878417047166706, 0.6762228056382384, 0.6665205280215754, 0.6589794566471846, 0.6545562563505575]","[0.6768129969274761, 0.6613915937625809, 0.6477485133322659, 0.6361475476366005, 0.6283914821826859]","[0.5615194, 0.61023945, 0.611891, 0.60363334, 0.6143683]","[0.6357616, 0.6357616, 0.6423841, 0.63907284, 0.63245034]"
