dropout_1,dropout_2,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
0.15,0.15,0.5663621141635318,0.6968515753746033,"[0.6645117125947257, 0.6137002870060694, 0.5876015123577489, 0.5692847298717928, 0.5580567891808643, 0.5486332118243114, 0.5419734959480823]","[0.637884573511098, 0.604546748090541, 0.5868764147944358, 0.5782340172527434, 0.5715237161566292, 0.5685478116440094, 0.5687331858424769]","[0.6285607, 0.67691153, 0.6930285, 0.70727134, 0.70877063, 0.7203898, 0.7237631]","[0.6551724, 0.66266865, 0.68215895, 0.70014995, 0.71214396, 0.70464766, 0.7016492]"
0.15,0.2,0.5665079604024472,0.6962518692016602,"[0.6645956792752782, 0.6146208145271713, 0.5885596086775167, 0.57052810983858, 0.5593055104208493, 0.5488226572791676, 0.5428541930004217]","[0.6383739671428343, 0.6049560616756308, 0.587304353624627, 0.5786163512913363, 0.5719767443422434, 0.5690292406832796, 0.5686716119210045]","[0.6244378, 0.67391306, 0.69415295, 0.70689654, 0.70727134, 0.71851575, 0.7256372]","[0.6551724, 0.66266865, 0.68065965, 0.6956522, 0.7091454, 0.7076462, 0.7031484]"
0.15,0.25,0.5667642755308252,0.6980509877204895,"[0.6655952825002942, 0.6153417920422876, 0.5896432377409184, 0.570953415698376, 0.5599231308010565, 0.5499985702391685, 0.5445954512799162]","[0.6393502367132607, 0.6057496363076492, 0.5879502663726749, 0.5792699155957624, 0.5721766693123813, 0.5694302812866543, 0.5691055235476686]","[0.61806595, 0.6754123, 0.6934033, 0.7050225, 0.70427287, 0.7173913, 0.71926534]","[0.6536732, 0.66266865, 0.6776612, 0.69415295, 0.70614696, 0.71064466, 0.70614696]"
0.25,0.15,0.5693002282053993,0.704947543144226,"[0.6642720785098097, 0.6147861622798926, 0.5912644101761986, 0.5732041624175018, 0.5622124455679303, 0.5532367391207408, 0.5467603371061128]","[0.6376128076077222, 0.6051754996158194, 0.5888464543772959, 0.5825887788003352, 0.5775321397645541, 0.5755089218469931, 0.5766302542886634]","[0.6278111, 0.6791604, 0.68665665, 0.7050225, 0.71251875, 0.7233883, 0.72076464]","[0.6431784, 0.6596702, 0.67616194, 0.6896552, 0.69415295, 0.6956522, 0.6956522]"
0.25,0.2,0.5695232439791781,0.7037481188774108,"[0.6644458233684614, 0.6156729085334595, 0.5921874242922713, 0.5742207122170764, 0.5631306155332025, 0.5535073697656349, 0.5476102484041068]","[0.6382043982731707, 0.6056152405231253, 0.5895521264562363, 0.5830262237224264, 0.5779377676915193, 0.5758879334851541, 0.5767370278331293]","[0.6255622, 0.67653674, 0.68290854, 0.70464766, 0.71251875, 0.7222639, 0.7222639]","[0.64467764, 0.6611694, 0.6716642, 0.68665665, 0.6911544, 0.69265366, 0.69265366]"
0.25,0.25,0.5697623905392064,0.7040479898452758,"[0.665107408921043, 0.6165145862585065, 0.5930977978448997, 0.5745144456937753, 0.5642296015948192, 0.554554284869999, 0.5491552730907743]","[0.6390185701078561, 0.6061562424835594, 0.5900649956498725, 0.5834059999443065, 0.5780498236194365, 0.5761022607962052, 0.5768201822105019]","[0.62031484, 0.6791604, 0.6791604, 0.708021, 0.7113943, 0.71889055, 0.71926534]","[0.6431784, 0.6596702, 0.6716642, 0.6836582, 0.69265366, 0.69265366, 0.6956522]"
0.2,0.15,0.5711862645585318,0.69145427942276,"[0.6657189280018099, 0.6167499830519063, 0.5924360317805003, 0.5749359857374761, 0.564289714711002, 0.5551212973323004, 0.5486540664797244]","[0.6379969806327992, 0.6058331410745452, 0.5897494043367377, 0.5812340063312422, 0.5746449500188299, 0.5719081283151836, 0.571491337966347]","[0.6195652, 0.66829085, 0.6874063, 0.70127434, 0.6997751, 0.71289355, 0.7151424]","[0.64167917, 0.65667164, 0.6791604, 0.68815595, 0.6956522, 0.69415295, 0.68665665]"
0.2,0.2,0.5713559356943957,0.691154420375824,"[0.6658482618596422, 0.6177019705658017, 0.5934222379903207, 0.576171174846489, 0.5655206657242382, 0.5554970038169507, 0.5493065757730018]","[0.638505601275271, 0.6063264757618196, 0.5903705278972814, 0.581812770827778, 0.5751150469372476, 0.5722294615126442, 0.5714867154340157]","[0.6210645, 0.6656672, 0.6877811, 0.70052475, 0.6990255, 0.71251875, 0.71214396]","[0.64167917, 0.6551724, 0.67616194, 0.68815595, 0.6971514, 0.6956522, 0.68665665]"
0.2,0.25,0.5714634874592657,0.6926536917686462,"[0.6665344610921983, 0.6184124030630807, 0.5943052248618771, 0.5764442779671127, 0.5663340595708616, 0.5564578340864967, 0.5508618156413089]","[0.639214928361072, 0.6069425787704101, 0.5910038217075583, 0.5824039183456501, 0.5753798460674429, 0.572770768287836, 0.5717685854417095]","[0.6161919, 0.66791606, 0.6896552, 0.70127434, 0.7038981, 0.7113943, 0.71064466]","[0.63868064, 0.6551724, 0.6776612, 0.68815595, 0.69415295, 0.69265366, 0.6896552]"
